ds,yhat,yhat_lower,yhat_upper
2189-12-31,26.29780566366581,24.083959995431897,28.617410625083604
2190-12-31,26.39725008533915,24.120709827649204,28.775204474459386
2191-12-31,26.496694508021175,24.13599855892769,28.820553253220453
2192-12-31,26.59641138016486,24.239929149189038,28.966166793831256
2193-12-31,26.6958558018382,24.320924794328246,29.114615518385325
2194-12-31,26.795300223511532,24.36454019939367,29.220315425633483
2195-12-31,26.894744645184872,24.547589738474905,29.34723074120928
2196-12-31,26.994461517328556,24.546692348988802,29.400416369627848
2197-12-31,27.093905939001893,24.62038091709008,29.608273240592084
2198-12-31,27.193350360675232,24.735311763134558,29.69119396783696
2199-12-31,27.29279478234858,24.854889771520067,29.80212184077167
